N	Bubble	Selection	Insertion	Quick	Merge
100	0.0015634	1.959E-4	7.5E-5	6.55E-5	1.10799E-4
100	5.64399E-4	2.831E-4	1.006E-4	1.117E-4	2.18901E-4
100	5.59001E-4	2.25201E-4	9.27E-5	8.78E-5	1.332E-4
100	5.91099E-4	3.304E-4	1.114E-4	1.414E-4	5.0899E-5
100	5.77499E-4	2.49501E-4	1.113E-4	2.94E-5	5.1799E-5
100	5.94E-4	2.771E-4	1.11E-4	1.56E-5	3.29E-5
100	4.422E-4	1.96E-4	6.4E-5	1.08E-5	2.54E-5
100	4.72099E-4	1.762E-4	7.67E-5	1.37E-5	2.45E-5
100	5.218E-4	2.086E-4	8.9199E-5	1.1201E-5	2.42E-5
100	4.313E-4	1.981E-4	7.91E-5	1.29E-5	2.2399E-5
100	4.24601E-4	1.933E-4	7.12E-5	1.03E-5	2.46E-5
100	4.525E-4	2.013E-4	8.3199E-5	2.4101E-5	2.61E-5
100	7.688E-4	1.07E-4	1.023E-4	5.09E-5	4.45E-5
100	1.542E-4	7.64E-5	1.11799E-4	1.56E-5	5.2001E-5
100	1.043E-4	2.42E-5	1.114E-4	1.52E-5	4.85E-5
100	1.199E-4	2.58E-5	1.125E-4	1.4E-5	3.3E-5
100	9.67E-5	2.89E-5	1.16399E-4	1.7801E-5	6.0E-5
100	1.185E-4	2.9E-5	1.218E-4	1.66E-5	3.24E-5
100	1.201E-4	3.3599E-5	1.11401E-4	1.52E-5	3.42E-5
100	1.45899E-4	4.47E-5	2.036E-4	2.45E-5	8.55E-5
1000	0.0096776	0.0018025	0.002345599	2.289E-4	0.002439001
1000	0.0031077	6.09301E-4	5.70001E-4	2.06801E-4	0.0024319
1000	0.0039884	8.383E-4	2.597E-4	1.902E-4	0.0029206
1000	0.0030003	5.42099E-4	3.354E-4	2.47801E-4	0.002040499
1000	0.0025857	4.608E-4	2.455E-4	1.13999E-4	0.0011775
1000	0.0035563	4.64599E-4	2.72499E-4	1.209E-4	0.001554201
1000	0.0034653	4.263E-4	2.693E-4	9.45E-5	0.0010834
1000	0.002443801	7.51401E-4	2.928E-4	1.374E-4	0.0016646
1000	0.003675699	3.84601E-4	4.55799E-4	1.67899E-4	0.0016633
1000	0.0028088	2.778E-4	2.41E-4	1.04699E-4	0.0011557
1000	0.0027291	3.578E-4	2.892E-4	1.319E-4	0.0013912
1000	0.0038433	4.906E-4	4.697E-4	1.875E-4	0.0023185
1000	0.0033731	5.326E-4	3.122E-4	2.935E-4	0.0010953
1000	0.004018001	4.474E-4	3.46501E-4	1.75699E-4	0.001730501
1000	0.0027996	2.78501E-4	2.327E-4	9.8899E-5	0.001056001
1000	0.0033498	3.862E-4	3.58401E-4	1.207E-4	0.0014491
1000	0.003603499	3.245E-4	2.851E-4	1.103E-4	0.001767
1000	0.003134	3.95999E-4	3.24601E-4	1.301E-4	0.001254499
1000	0.0038674	4.50701E-4	3.87299E-4	3.222E-4	0.002622001
1000	0.0042489	4.825E-4	4.21699E-4	1.75501E-4	0.0016477
10000	0.1551911	0.030962901	0.023398199	7.953E-4	0.0487128
10000	0.150613101	0.0313644	0.0261226	8.792E-4	0.0795508
10000	0.1767228	0.0316128	0.0227392	7.86401E-4	0.047952899
10000	0.1517374	0.0314325	0.0244473	0.0011377	0.039173801
10000	0.150585801	0.0312292	0.0227317	8.68401E-4	0.0381415
10000	0.1539209	0.0315063	0.0228368	9.215E-4	0.051206999
10000	0.1580852	0.0314407	0.023046401	8.427E-4	0.0480313
10000	0.1408206	0.031399101	0.022959501	8.173E-4	0.0488221
10000	0.1439733	0.031365301	0.0232619	9.606E-4	0.0488994
10000	0.135526601	0.0333618	0.0229611	9.166E-4	0.048967399
10000	0.145084	0.031758	0.025131601	7.933E-4	0.046374801
10000	0.1359946	0.0314937	0.0230174	7.617E-4	0.046726799
10000	0.154854199	0.0355932	0.0247136	8.64099E-4	0.044877201
10000	0.170978999	0.0313318	0.022811	8.521E-4	0.040566999
10000	0.153340201	0.0319988	0.0230863	8.229E-4	0.0406568
10000	0.139502901	0.031190701	0.0290523	8.05701E-4	0.0378571
10000	0.152921499	0.0311721	0.0228458	8.421E-4	0.0443163
10000	0.142532999	0.0313541	0.0228465	7.85E-4	0.0380564
10000	0.141354201	0.031259401	0.0230605	9.43499E-4	0.038156001
10000	0.1356586	0.0314042	0.0228417	8.21599E-4	0.039943101
100000	37.5335938	4.170953501	7.702004101	0.0122171	1.9011582
100000	35.2568812	4.3350242	2.9407303	0.011999399	1.9034389
100000	36.6777985	4.5209589	6.6788091	0.014133501	1.7618307
100000	34.4814144	4.261012599	3.623633199	0.0109693	1.698227601
100000	34.778536299	4.233341099	8.0641803	0.012308	1.707578199
100000	34.319108	4.282027401	8.5418478	0.0115117	1.999748401
100000	35.0854837	4.4345075	7.726189901	0.010772501	1.7630563
100000	34.625209301	4.4447916	3.1671816	0.017516901	1.897700699
100000	36.8175696	4.8929411	4.3621665	0.0128161	2.234368599
100000	34.956203	4.7933476	3.4623596	0.0109237	1.7491443
100000	35.209092501	5.0210032	5.487862999	0.0116061	2.0023973
100000	33.3804429	4.191709001	8.513335499	0.011057	1.8794591
100000	34.449434	4.3412135	5.1079142	0.0128354	2.0246769
100000	35.825535799	4.3345213	2.890576199	0.0117491	1.924634601
100000	33.605313001	4.366594601	3.0236772	0.0123531	1.968893
100000	35.376500599	4.437264099	2.9192615	0.0109466	1.8200662
100000	35.3407415	4.5530753	2.956585801	0.010886799	1.8742759
100000	34.0488862	4.271610201	3.190804399	0.0129873	1.8600609
100000	34.316480301	4.2714125	7.0997991	0.0113621	1.794305599
100000	34.4884278	4.4789834	4.615861801	0.0116594	1.9395606
