N	Bubble	Selection	Insertion	Quick	Merge	Heap
100	9.215E-4	1.887E-4	7.75E-5	5.83E-5	1.101E-4	4.371E-4
100	4.637E-4	1.954E-4	8.27E-5	7.13E-5	1.125E-4	6.82E-5
100	4.411E-4	1.964E-4	7.81E-5	7.46E-5	1.171E-4	7.16E-5
100	4.386E-4	1.928E-4	8.51E-5	7.02E-5	3.0E-5	7.96E-5
100	3.954E-4	2.319E-4	1.116E-4	2.1E-5	4.61E-5	5.16E-5
100	4.288E-4	1.981E-4	7.15E-5	2.49E-5	2.58E-5	4.31E-5
100	4.5E-4	1.997E-4	8.43E-5	1.57E-5	2.74E-5	7.18E-5
100	3.747E-4	1.916E-4	7.5E-5	1.3E-5	3.13E-5	2.65E-5
100	4.122E-4	2.016E-4	7.78E-5	1.19E-5	2.9E-5	2.76E-5
100	4.028E-4	2.141E-4	7.76E-5	1.43E-5	2.76E-5	2.61E-5
100	3.799E-4	1.877E-4	8.02E-5	1.05E-5	2.58E-5	2.46E-5
100	3.906E-4	2.081E-4	9.74E-5	1.25E-5	2.43E-5	2.53E-5
100	4.089E-4	6.75E-5	7.93E-5	1.66E-5	2.63E-5	2.45E-5
100	9.76E-5	3.61E-5	8.42E-5	1.11E-5	2.51E-5	2.62E-5
100	6.33E-5	1.85E-5	8.04E-5	1.11E-5	3.46E-5	2.69E-5
100	6.02E-5	1.91E-5	9.09E-5	1.18E-5	2.57E-5	2.66E-5
100	5.92E-5	2.04E-5	8.92E-5	1.16E-5	3.05E-5	2.48E-5
100	1.083E-4	3.61E-5	1.134E-4	2.21E-5	4.67E-5	4.3E-5
100	9.93E-5	3.49E-5	1.255E-4	1.64E-5	4.13E-5	4.23E-5
100	9.88E-5	3.89E-5	1.153E-4	1.65E-5	4.1E-5	4.08E-5
1000	0.0064816	0.0013465	0.001908	2.235E-4	0.0020638	3.389E-4
1000	0.0024418	0.0013629	4.982E-4	1.689E-4	0.0025008	3.317E-4
1000	0.0026181	0.0013885	4.988E-4	1.366E-4	0.0025876	3.569E-4
1000	0.0023963	0.0011244	2.631E-4	1.03E-4	0.0011565	3.37E-4
1000	0.0021604	3.943E-4	2.642E-4	1.059E-4	0.00149	2.74E-4
1000	0.0035112	4.307E-4	2.706E-4	1.064E-4	0.001151	2.372E-4
1000	0.0034037	3.0E-4	2.725E-4	1.138E-4	0.0013868	2.496E-4
1000	0.0023168	3.048E-4	2.551E-4	1.035E-4	0.0012579	2.216E-4
1000	0.0035578	3.135E-4	2.765E-4	1.631E-4	0.001972	2.159E-4
1000	0.0021205	2.904E-4	2.523E-4	9.98E-5	0.0011125	2.051E-4
1000	0.0022295	2.901E-4	2.608E-4	1.083E-4	0.0015075	2.122E-4
1000	0.0022151	3.222E-4	3.215E-4	1.695E-4	0.0013644	2.494E-4
1000	0.0025685	2.831E-4	2.613E-4	9.58E-5	0.0012426	2.123E-4
1000	0.0025262	2.901E-4	2.557E-4	9.3E-5	0.0010907	2.083E-4
1000	0.002252	2.94E-4	2.618E-4	9.29E-5	0.0015302	2.403E-4
1000	0.0027318	2.894E-4	2.605E-4	8.6E-5	0.0011107	2.096E-4
